"STATISTIC","Statistic Label","TLIST(A1)","Year","C02677V03567","Countries","UNIT","VALUE"
"MIP10C01","GDP growth rates","2015","2015","AT","Austria","%","1"
"MIP10C01","GDP growth rates","2015","2015","BE","Belgium","%","2"
"MIP10C01","GDP growth rates","2015","2015","BG","Bulgaria","%","4"
"MIP10C01","GDP growth rates","2015","2015","HR","Croatia","%","2.4"
"MIP10C01","GDP growth rates","2015","2015","CY","Cyprus","%","3.2"
"MIP10C01","GDP growth rates","2015","2015","CZ","Czech Republic","%","5.4"
"MIP10C01","GDP growth rates","2015","2015","DK","Denmark","%","2.3"
"MIP10C01","GDP growth rates","2015","2015","EE","Estonia","%","1.8"
"MIP10C01","GDP growth rates","2015","2015","-","EU27","%","2.3"
"MIP10C01","GDP growth rates","2015","2015","ZZEMU7","Eurozone 19","%","2"
"MIP10C01","GDP growth rates","2015","2015","FI","Finland","%","0.5"
"MIP10C01","GDP growth rates","2015","2015","FR","France","%","1.1"
"MIP10C01","GDP growth rates","2015","2015","DE","Germany","%","1.5"
"MIP10C01","GDP growth rates","2015","2015","GR","Greece","%","-0.4"
"MIP10C01","GDP growth rates","2015","2015","HU","Hungary","%","3.8"
"MIP10C01","GDP growth rates","2015","2015","IS","Iceland","%","4.4"
"MIP10C01","GDP growth rates","2015","2015","IE1","Ireland % GDP","%","25.2"
"MIP10C01","GDP growth rates","2015","2015","IE2","Ireland % GNI","%","13.7"
"MIP10C01","GDP growth rates","2015","2015","IT","Italy","%","0.8"
"MIP10C01","GDP growth rates","2015","2015","LV","Latvia","%","4"
"MIP10C01","GDP growth rates","2015","2015","LT","Lithuania","%","2"
"MIP10C01","GDP growth rates","2015","2015","LU","Luxembourg","%","4.3"
"MIP10C01","GDP growth rates","2015","2015","ME","Montenegro","%",""
"MIP10C01","GDP growth rates","2015","2015","MK","Macedonia","%",""
"MIP10C01","GDP growth rates","2015","2015","MT","Malta","%","9.6"
"MIP10C01","GDP growth rates","2015","2015","NL","Netherlands","%","2"
"MIP10C01","GDP growth rates","2015","2015","NO","Norway","%","2"
"MIP10C01","GDP growth rates","2015","2015","PL","Poland","%","4.2"
"MIP10C01","GDP growth rates","2015","2015","PT","Portugal","%","1.8"
"MIP10C01","GDP growth rates","2015","2015","RO","Romania","%","3"
"MIP10C01","GDP growth rates","2015","2015","RS","Serbia","%","1.8"
"MIP10C01","GDP growth rates","2015","2015","SK","Slovakia","%","4.8"
"MIP10C01","GDP growth rates","2015","2015","SI","Slovenia","%","2.2"
"MIP10C01","GDP growth rates","2015","2015","ES","Spain","%","3.8"
"MIP10C01","GDP growth rates","2015","2015","SE","Sweden","%","4.5"
"MIP10C01","GDP growth rates","2015","2015","CH","Switzerland","%","1.7"
"MIP10C01","GDP growth rates","2015","2015","TR","Turkey","%",""
"MIP10C01","GDP growth rates","2015","2015","GB","United Kingdom","%","2.4"
"MIP10C01","GDP growth rates","2016","2016","AT","Austria","%","2"
"MIP10C01","GDP growth rates","2016","2016","BE","Belgium","%","1.3"
"MIP10C01","GDP growth rates","2016","2016","BG","Bulgaria","%","3"
"MIP10C01","GDP growth rates","2016","2016","HR","Croatia","%","3.5"
"MIP10C01","GDP growth rates","2016","2016","CY","Cyprus","%","6.5"
"MIP10C01","GDP growth rates","2016","2016","CZ","Czech Republic","%","2.5"
"MIP10C01","GDP growth rates","2016","2016","DK","Denmark","%","3.2"
"MIP10C01","GDP growth rates","2016","2016","EE","Estonia","%","3.2"
"MIP10C01","GDP growth rates","2016","2016","-","EU27","%","2"
"MIP10C01","GDP growth rates","2016","2016","ZZEMU7","Eurozone 19","%","1.9"
"MIP10C01","GDP growth rates","2016","2016","FI","Finland","%","2.8"
"MIP10C01","GDP growth rates","2016","2016","FR","France","%","1.1"
"MIP10C01","GDP growth rates","2016","2016","DE","Germany","%","2.2"
"MIP10C01","GDP growth rates","2016","2016","GR","Greece","%","-0.5"
"MIP10C01","GDP growth rates","2016","2016","HU","Hungary","%","2.2"
"MIP10C01","GDP growth rates","2016","2016","IS","Iceland","%","6.3"
"MIP10C01","GDP growth rates","2016","2016","IE1","Ireland % GDP","%","2"
"MIP10C01","GDP growth rates","2016","2016","IE2","Ireland % GNI","%","7.4"
"MIP10C01","GDP growth rates","2016","2016","IT","Italy","%","1.3"
"MIP10C01","GDP growth rates","2016","2016","LV","Latvia","%","2.4"
"MIP10C01","GDP growth rates","2016","2016","LT","Lithuania","%","2.5"
"MIP10C01","GDP growth rates","2016","2016","LU","Luxembourg","%","5"
"MIP10C01","GDP growth rates","2016","2016","ME","Montenegro","%","2.9"
"MIP10C01","GDP growth rates","2016","2016","MK","Macedonia","%","2.8"
"MIP10C01","GDP growth rates","2016","2016","MT","Malta","%","3.1"
"MIP10C01","GDP growth rates","2016","2016","NL","Netherlands","%","2.2"
"MIP10C01","GDP growth rates","2016","2016","NO","Norway","%","1.1"
"MIP10C01","GDP growth rates","2016","2016","PL","Poland","%","3.1"
